"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.01075947199285e-05,63,1129,1.78565101860053,"GO:0005515 protein binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0005515","araC focA cysN topA uvrA clpX gapA sdaA brnQ cyaA hcp pitA aspA dctA nusA rapA ompX fbaA trkA gcd pta mntH cca ptsI rlmN allR mtfA nusG ispG cysJ lptA secE speA ucpA lysP hslV rfaD exbB fliC ycfH infB cysD raiA preA lepA preT tar rpoD nuoG chpS era lptD ppa hslU lptC rbsC nnr der malT lptB hflK eno rnc"
3.97275235186689e-05,9,34,8.47058823529412,"GO:0097216 guanosine tetraphosphate binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0097216","der cmk era purF infB pgk lepA hflX ppnN"
0.000683752678348255,34,526,2.06844106463878,"GO:0000166 nucleotide binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0000166","lptB malT cmk rnc proS ackA gapA infB cysN zraS nusA lepA era der pgk valS hflX hslU cyaA cas3 artP uvrA clpX nnr pyrG ygeV rapA entF cca ettA cysD yjjG yniA fucO"
0.000683752678348255,5,12,13.3333333333333,"GO:0043024 ribosomal small subunit binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0043024","raiA era lepA infB rsmA"
0.00151809629080943,29,436,2.12844036697248,"GO:0042802 identical protein binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0042802","focA purF clpX hslV deoD allR lepA yqhD pyrG uspA malT fbaA folM uvrA exbB lptA lptC ydgA speA trpB eno ptsI tar ltaE araC hslU lysP zraP gapA"
0.00397092185941817,6,28,6.85714285714286,"GO:0003924 GTPase activity","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0003924","hflX der era cysN lepA infB"
0.00408351744598918,28,446,2.00896860986547,"GO:0005524 ATP binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0005524","zraS rnc hflX cyaA cas3 nnr cysD uspF ackA lptB pyrG malT cmk uvrA hslU pgk yniA valS entF ygeV proS ettA hslV cca cysN artP clpX rapA"
0.00430281885533373,16,191,2.68062827225131,"GO:0000287 magnesium ion binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0000287","hslV eno ackA rnc purF ppa cas3 cca menF deoB pyrG gcd valS hslU speA rspA"
0.00562040116191147,38,709,1.71509167842031,"GO:0046872 metal ion binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0046872","fucO ackA purF sodA hcp rlmN uvrA yqhD cysI ydeN rnc hslV menF ispG mntH cas3 ytfE nnr topA fbaA speA eno sdaA sodB fhuF speB ptsI yjjG preA hflX ycfH deoB pyrG ppa cca clpX sodC nuoG"
0.0239621447114286,5,29,5.51724137931034,"GO:0043022 ribosome binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0043022","der hflX ettA raiA lepA"
0.0240850208404164,7,58,3.86206896551724,"GO:0015293 symporter activity","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0015293","nupC fucP mntH dctA mtr tcyP lldP"
0.0242333258788176,3,9,10.6666666666667,"GO:0004176 ATP-dependent peptidase activity","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0004176","hslV clpX hslU"
0.0419625965267151,3,11,8.72727272727273,"GO:0019904 protein domain specific binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0019904","hslU hslV nusA"
0.0507740876915543,3,12,8,"GO:0043023 ribosomal large subunit binding","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0043023","der lepA hflX"
0.0675221241663974,22,409,1.72127139364303,"GO:0003824 catalytic activity","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0003824","ydeN fmt deoC cysD ltaE rfaD speA rlmN aspA nnr lldD cca hcp fbaA ptsI deoB deoD entF trpA preA hslV fhuF"
