"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.72149570637945e-07,6,7,27.4285714285714,"GO:0098561 methyl accepting chemotaxis protein complex","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0098561","tar cheZ cheR tsr cheW cheA"
3.73181754610582e-06,9,31,9.29032258064516,"GO:0009288 bacterial-type flagellum","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0009288","flgK fliC flgL cheZ ycgR fliD cheY motA motB"
0.00717348341955216,4,14,9.14285714285714,"GO:0005576 extracellular region","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0005576","fliC fliD flgK flgL"
0.0143687169462553,14,187,2.39572192513369,"GO:0042597 periplasmic space","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0042597","malM yahO cysP ggt osmY sbp osmF hdeB hdeA ydcS treA ygiW yjfN ansB"
0.0779785288958518,49,1176,1.33333333333333,"GO:0005886 plasma membrane","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0005886","yqaE hdeD gsiA ybaT cheA mdtE yphA cheB cheR cysW hyaA malG clsB cheZ poxB malK cadB uspB lldD motA elaB malF yohP yehY ymgE cheW cyuP glpB yncL rbsC yhjG dgcM yehW tsr motB tap tar ygaM ytjA tdcC ygdI ybhN nlpA lsrA ecnB yeaQ bsmA narU yhiD"
0.0857305637183357,9,127,2.26771653543307,"GO:0043190 ATP-binding cassette (ABC) transporter complex","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0043190","malK osmF malF cysW malG gsiA rbsC yehW yehY"
0.0993595583114232,12,202,1.9009900990099,"GO:0030288 outer membrane-bounded periplasmic space","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0030288","sbp treA osmY malM cysP ggt hdeB osmF hdeA ydcS ansB ygiW"
0.150003093451609,6,81,2.37037037037037,"GO:0032991 protein-containing complex","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0032991","ansB glsA tdcB wrbA gabD poxB"
0.194318198994768,53,1404,1.20797720797721,"GO:0016020 membrane","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0016020","yncL ybaT mdtE ytjA glpB yehW yphA lsrA yqaE clsB ygaM bfr tsr blc cysW lldD ybhN poxB malF yohP ecnB malK cadB uspB fbaB slp yeaQ hdeD motA ymgE gsiA narU cyuP yehY nlpA yhiD elaB motB tap malG rbsC ycaC tdcC bsmA wrbA yhjG tar ygdI hyaA cysP sbp ydcS yehX"
