"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000784695638431165,4,6,21.3333333333333,"SO4ASSIM-PWY assimilatory sulfate reduction I","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=SO4ASSIM-PWY","cysD cysN cysJ cysI"
0.00890612256805764,4,12,10.6666666666667,"SULFATE-CYS-PWY superpathway of sulfate assimilation and cysteine biosynthesis","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=SULFATE-CYS-PWY","cysD cysN cysJ cysI"
0.00890612256805764,5,23,6.95652173913043,"GLYCOLYSIS-E-D superpathway of glycolysis and the Entner-Doudoroff pathway","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=GLYCOLYSIS-E-D","pgl fbaA gapA pgk eno"
0.00890612256805764,3,6,16,"DETOX1-PWY superoxide radicals degradation","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=DETOX1-PWY","sodC sodB sodA"
0.0114489265218314,3,7,13.7142857142857,"PWY0-1297 superpathway of purine deoxyribonucleosides degradation","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=PWY0-1297","deoD deoB deoC"
0.0170500585015957,4,18,7.11111111111111,"PWY-5484 glycolysis II","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=PWY-5484","fbaA gapA pgk eno"
0.0170500585015957,4,18,7.11111111111111,"GLUCONEO-PWY gluconeogenesis I","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=GLUCONEO-PWY","eno pgk gapA fbaA"
0.0184431666455098,4,19,6.73684210526316,"GLYCOLYSIS glycolysis I","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=GLYCOLYSIS","fbaA gapA pgk eno"
0.0452700897519691,3,13,7.38461538461539,"METHGLYUT-PWY superpathway of methylglyoxal degradation","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=METHGLYUT-PWY","yqhD gpr lldD"
0.0480341710927084,4,26,4.92307692307692,"HEXITOLDEGSUPER-PWY superpathway of hexitol degradation","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=HEXITOLDEGSUPER-PWY","fbaA gapA pgk eno"
0.0618219868966611,2,6,10.6666666666667,"PWY-5437 L-threonine degradation I","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=PWY-5437","pta ackA"
0.0618219868966611,2,6,10.6666666666667,"PWY0-1296 purine ribonucleosides degradation","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=PWY0-1296","deoD deoB"
0.0618219868966611,2,6,10.6666666666667,"PWY-5453 methylglyoxal degradation III","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=PWY-5453","yqhD gpr"
0.0787330220339693,2,7,9.14285714285714,"POLYAMSYN-PWY superpathway of polyamine biosynthesis I","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=POLYAMSYN-PWY","speA speB"
0.0959899905995259,2,8,8,"PWY0-1298 superpathway of pyrimidine deoxyribonucleosides degradation","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=PWY0-1298","deoB deoC"
0.111724092707673,3,22,4.36363636363636,"THREOCAT-PWY superpathway of L-threonine metabolism","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=THREOCAT-PWY","ltaE pta ackA"
0.111743155254385,5,57,2.80701754385965,"ALL-CHORISMATE-PWY superpathway of chorismate metabolism","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=ALL-CHORISMATE-PWY","entF trpA trpB menF folM"
0.116916088265268,2,10,6.4,"PWY-8171 molybdenum cofactor biosynthesis","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=PWY-8171","cysW cysP"
0.116916088265268,2,10,6.4,"PWY0-1477 ethanolamine utilization","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=PWY0-1477","pta ackA"
0.126683966063093,2,11,5.81818181818182,"FUC-RHAMCAT-PWY superpathway of fucose and rhamnose degradation","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=FUC-RHAMCAT-PWY","fucO lldD"
0.126683966063093,2,11,5.81818181818182,"PWY-7196 superpathway of pyrimidine ribonucleosides salvage","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=PWY-7196","cmk pyrG"
0.128939837007094,4,44,2.90909090909091,"GLYCOLYSIS-TCA-GLYOX-BYPASS superpathway of glycolysis pyruvate dehydrogenase TCA and glyoxylate bypass","HTTPS://ECOCYC.ORG/ECOLI/PATHWAY-GENES?OBJECT=GLYCOLYSIS-TCA-GLYOX-BYPASS","fbaA gapA pgk eno"
