"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.13329711282867e-07,64,1039,1.9711260827719,"GO:0005829 cytosol","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0005829","pgk pyrG purF hslU pliG yqhD rnc ispG cas3 rlmN der gapA ftnB cysJ fucO ltaE clpX deoB ackA allR raiA aspA ubiT fhuF ppa infB nusG entF pgl fbaA speB cmk lepA deoD cfa trpB ycfH hflX rsmA araC mtfA proS tdcA rpoD nusA hslV rfaD valS trpA ptsI sodB sdaA deoC trkA ytfE hflK sodA eno uvrA topA ppnN pta fmt era"
0.000240850102728563,51,931,1.75295381310419,"GO:0005737 cytoplasm","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0005737","yadI purF entF apaH ptsI sodB ppa gapA deoC ptrB uspA fhuF lptB cmk tdcA rnc rsmA fes cyaA nusA preA rapA trpA valS ftnB pta trpB pyrG yjjG hslV nuoG mtfA hcp hflX hslU araC era infB pgk rpoD proS ettA rlmN deoB ytfE ackA cfa sodA uvrA eno deoD"
0.00226820305030188,4,10,12.8,"GO:1990351 transporter complex","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:1990351","lptC lptD lptA lptB"
0.182615464249399,56,1404,1.27635327635328,"GO:0016020 membrane","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0016020","trkA ackA sodB lepB lptB artP mntH hflK waaA yahN lptD ybhQ brnQ secE dctA lepA ppa mtr uspA nuoG lysP cysW aspA zraS focA osmB rfaD lldD nupC gcd ydgA hslU gapA yohK tcyP lldP nhaA cyuP ompX lptC deoC deoD exbB rbsC bsmA tar fucP pitA eno dcuA infB fhuF sapB era cysP oppA"
0.196779480729028,2,8,8,"GO:0008023 transcription elongation factor complex","HTTP://AMIGO.GENEONTOLOGY.ORG/AMIGO/TERM/GO:0008023","nusA nusG"
